Wilaya,TarifDomicile,TarifBureau
Adrar,0,0
Chlef,0,0
Laghouat,0,0
Oum El Bouaghi,0,0
Batna,0,0
Béjaïa,0,0
Biskra,0,0
Béchar,0,0
Blida,0,0
Bouira,0,0
Tamanrasset,0,0
Tébessa,0,0
Tlemcen,0,0
Tiaret,0,0
Tizi Ouzou,0,0
Alger,0,0
Djelfa,0,0
Jijel,0,0
Sétif,0,0
Saïda,0,0
Skikda,0,0
Sidi Bel Abbès,0,0
Annaba,0,0
Guelma,0,0
Constantine,0,0
Médéa,0,0
Mostaganem,0,0
M'sila,0,0
Mascara,0,0
Ouargla,0,0
Oran,0,0
El Bayadh,0,0
Illizi,0,0
Bordj Bou Arreridj,0,0
Boumerdès,0,0
El Tarf,0,0
Tindouf,0,0
Tissemsilt,0,0
El Oued,0,0
Khenchela,0,0
Souk Ahras,0,0
Tipaza,0,0
Mila,0,0
Aïn Defla,0,0
Naâma,0,0
Aïn Témouchent,0,0
Ghardaïa,0,0
Relizane,0,0
Timimoun,0,0
Bordj Badji Mokhtar,0,0
Ouled Djellal,0,0
Béni Abbès,0,0
In Salah,0,0
In Guezzam,0,0
Touggourt,0,0
Djanet,0,0
El M'Ghair,0,0
El Meniaa,0,0
Aflou,0,0
Barika,0,0
El Kantara,0,0
Bir El Ater,0,0
El Aricha,0,0
Ksar Chellala,0,0
Aïn Oussera,0,0
Messaad,0,0
Ksar El Boukhari,0,0
Bou Saâda,0,0
El Abiodh Sidi Cheikh,0,0
